tranche zincid SMILES
H29P330 ZINCtD00000tGuis Cc1ncn(Cc2cn(C[C@H]3CC[C@@H](NC(=O)CSC(C)(C)C)CC3)nn2)c1C
H29P040 ZINCta00000hiBow CCc1cnc(CC(=O)NCC2(O)CN(C(=O)c3ccc(O)c(C(C)=O)c3)C2)[nH]1
H27P150 ZINCrl00001S4enS CC1(S(=O)(=O)NC[C@H]2CN(C(=O)[C@H]3C[C@@H](N4CCCC4)C3)CC23CC3)CC1
H29P190 ZINCtp00000KOjRh CCc1nc(C)c(C(=O)N[C@@H]2CN(C(=O)c3nn4c(c3C)CCCC4)C[C@@H]2F)o1
H19P030 ZINCj900000d9lXz Cn1cnnc1[C@H]1CCN(C(=O)Cc2cnco2)C1
H27P460 ZINCrQ000008CvdT Cc1cc(C(=O)NCCC2=CCN(C(=O)[C@H](C)CC(C)C)CC2)ccc1Cl
H27P190 ZINCrp00000yyLcj COC/C(C)=C/C(=O)N1CC2(CC[C@@H](CNC(=O)c3cnccc3Br)O2)C1
H28P260 ZINCsw00000pGjcL CCC(CC)C[C@H](F)C(=O)N1CC[C@@H]2C[C@]21C(=O)N[C@H](C)Cc1ccnn1C
H26P370 ZINCqH00000j20i5 N#Cc1ccnc(Nc2sc3c(c2C(=O)Nc2cnsc2)CCCC3)n1
H27P290 ZINCrz00000xl8F6 CC(C)OC1(C(=O)N2C[C@@H](CNC(=O)[C@H](F)C(C)(F)F)C(C)(C)C2)CCC1
H26M000 ZINCq500000gkA4k CN1CCC(C(=O)N[C@@H]2C[C@@]3(NC(=O)c4nsnc4O)CO[C@@H]2C3)CC1
H29P160 ZINCtm00001LYqoB CC(C)C[C@@H](O)CC(=O)N1Cc2n[nH]cc2[C@@H]1C(=O)N1CC[C@]2(CO[C@H](C)C2)C1
H28P430 ZINCsN000009Nshs O=C(N[C@]12CCC[C@H]1N(C(=O)CCOCC(F)F)CCC2)c1cc(Cl)c(Cl)s1
H28P290 ZINCsz00000hoQ7f COc1cc(C)c(C(=O)N[C@H]2CCCCN(C(=O)c3sncc3C)CC2)cn1
H25P470 ZINCpR00000ylDD1 C=CCCNC(=O)c1n[nH]c2c(-c3ccc4sccc4c3)cccc12
H26P330 ZINCqD00000eywvx CCO[C@H](CC)C(=O)NCCC1CN(C(=O)Cc2cc(Cl)ccc2Cl)C1
H25M000 ZINCp500000MJYNz CCC(=O)NCC(=O)N[C@H]1[C@@H]2C[C@H]1N(C(=O)CSCc1ncc[nH]1)C2
H29P370 ZINCtH00000o0UhJ Cc1c(Br)c(C(=O)N2CC[C@H](CC(=O)N3CC[C@@H](C4CCCCC4)C3)C2)nn1C
H26M000 ZINCq5000001sjWp CCOC(=O)C1(C(=O)NCCC[C@@H](C)NC(=O)Cn2nnnc2C)CC1
H29P260 ZINCtw00000vEGka COC(=O)CC(=O)N1CC[C@@H](NC(=O)[C@@H](C)c2cncs2)C[C@@H]1c1ccccc1
H27P380 ZINCrI00000tkquI COc1c(C)csc1C(=O)N1C[C@@H](NC(=O)CCC2(C)CC2)CC12CCC2
H27P210 ZINCrr00000RvRTG Cc1[nH]nc(CN(C[C@H](C)CC(F)(F)F)C(=O)[C@H]2COCCN2C=O)c1Cl
H28P360 ZINCsG000003ihUs C#CCCCCC(=O)N1CC2(CCC(NC(=O)c3c(F)cccc3F)CC2)C1
H26M000 ZINCq500000gkzuW CN1CCC(C(=O)N[C@@H]2CN(C(=O)[C@@H]3CC34CC4)C[C@H]2S(C)(=O)=O)CC1
H28P030 ZINCs900002BfoyR CN1CCN(C)[C@H](CNC(=O)[C@@H]2C[C@@H](F)CN2C(=O)c2cc(N)cc(F)c2)C1
H27P200 ZINCrq00000RvRTJ Cc1[nH]nc(CN(C[C@H](CO)C2CC2)C(=O)c2ccnn3ccnc23)c1Cl
H29P350 ZINCtF00000Ueiwl Cc1ccc(Cl)cc1CN(Cc1ccnc(OCC2CC2)c1)Cc1nnn(C)n1
H28P350 ZINCsF000001g7o9 CCC(F)(F)C(=O)N1CCC[C@H](NC(=O)[C@@H]2CCOCC23CCCCC3)CC1
H29P240 ZINCtu00000eU0AL CSc1cnn(C)c1C(=O)NC[C@H](C)NC(=O)c1ccc(N2CCCC2)c(F)c1
H26P200 ZINCqq0000095oRt C[C@H]1C[C@H](NC(=O)CNC(=O)CC(C)(C)C)CN1C(=O)c1csc(Cl)n1
H28P390 ZINCsJ00000g38mG CC(C)C[C@H](C)C(=O)N[C@H]1CC[C@H](CNC(=O)c2sc(N(C)C)nc2Cl)CC1
H29P350 ZINCtF00000Ueiws Cc1ccc(Cl)cc1CN(C[C@H]1CC[C@H](CO)CC1)C(=O)CCc1ncnn1C
H24P180 ZINCoo00000FxMc8 CCC[C@H]1C[C@@H](C(=O)NCCNS(=O)(=O)CCC2CCC2)CCO1
H25P030 ZINCp900000MJYNC CCC(=O)NCC(=O)N[C@@H](C)CCN(C)C(=O)c1cn2c(n1)CCC2
H29P320 ZINCtC000001FvBe CC[C@@H]1CC[C@@H](C(=O)N2CC(Cc3cn([C@@H](C)c4ccc(F)cc4C)nn3)C2)O1
H29P150 ZINCtl00000PCEd3 O=C([C@H]1CCCn2ccnc21)N1C[C@H](O)C[C@H]1CNC(=O)C1(C(F)(F)F)CCC1
H26P220 ZINCqs00000cnoDz C[C@@H]1CC(=O)N[C@H]1C(=O)NCCCCC(=O)N(C)CC1CCCCCC1
H27P330 ZINCrD00000rSZTu C#CCCN(c1nc2ccccc2nc1C)C1CN(C(=O)OC(C)(C)C)C1
H24P260 ZINCow00000otobc CCN(CC)C(=O)N1CCN(C(=O)Cc2nc(Cl)ccc2Br)CC1
H19P030 ZINCj900000d9m3H Cn1ncc(Br)c1S(=O)(=O)N=[S@@](C)(=O)[C@@H]1CCNC1
H28P270 ZINCsx00000vkq9B C=CCOCCN(Cc1cccc(C#N)c1OC)C(=O)c1ccc(O)cc1N
H27P130 ZINCrj00001S4enP CC1(S(=O)(=O)NC[C@@H]2CN(C(=O)c3ccc(N)c(F)n3)CC2(F)F)CCC1
H22P160 ZINCmm00000qmBOI O=C(NCCF)[C@H]1C[C@@]12CCN(C(=O)c1ccncc1Cl)C2
H26M000 ZINCq500000gkyVX CN1CCC(C(=O)N[C@@H]2CCC[C@@H]2NC(=O)C(=O)Nc2ncc[nH]2)CC1
H28P140 ZINCsk00001dmnub COc1cnnc(C(=O)N2CC[C@@H](C(C)C)C[C@H]2CNC(=O)[C@H](O)C(C)C)c1
H29P290 ZINCtz000004Jkf2 CC(C)CO[C@H](C)C(=O)N1CCCC(C)(C)[C@H]1CNC(=O)C1=C[C@@]2(CCOC2)C1
H27P220 ZINCrs000004onyM Cc1nc[nH]c1C[C@H](NC(=O)c1cnn(-c2cccc(Cl)c2)c1C)C(=O)O
H19P030 ZINCj900000d9l6L Cn1c(C(=O)N2CCO[C@@H]3COCC[C@@H]32)cnc1S
H28P290 ZINCsz00000hoQwx CCCCCOCC(=O)N1C[C@H](C)O[C@]2(CCN(C(=O)CCCCSC)C2)C1
H29P240 ZINCtu00000eU0za CSc1cnn(C)c1C(=O)NC[C@H](C)CNC(=O)C(C)(C)c1ccc(C#N)cc1
